what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1481608983306
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1481608983306
started,bundle,org.tigris.subversion.subclipse.ui,1.8.17,"org.tigris.subversion.subclipse.ui",1481608983307
os,sysinfo,,,"win32",1481608983309
arch,sysinfo,,,"x86",1481608983309
ws,sysinfo,,,"win32",1481608983309
locale,sysinfo,,,"en_US",1481608983309
processors,sysinfo,,,"4",1481608983309
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1481608983309
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1481608983309
java.specification.name,sysinfo,,,"Java Platform API Specification",1481608983309
java.specification.vendor,sysinfo,,,"Oracle Corporation",1481608983309
java.specification.version,sysinfo,,,"1.7",1481608983309
java.vendor,sysinfo,,,"Oracle Corporation",1481608983309
java.version,sysinfo,,,"1.7.0_21",1481608983309
java.vm.info,sysinfo,,,"mixed mode",1481608983309
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1481608983309
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1481608983309
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1481608983309
java.vm.specification.version,sysinfo,,,"1.7",1481608983309
java.vm.vendor,sysinfo,,,"Oracle Corporation",1481608983309
java.vm.version,sysinfo,,,"23.21-b01",1481608983309
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1481609003089
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1481609003094
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1481609003098
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1481609003124
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1481609003126
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1481609003127
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1481609003136
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1481609003152
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1481609003153
started,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1481609003246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481609051729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481609148326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481609152658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481610157296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481610159620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481610160656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481610188182
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1481610190521
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1481610192672
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1481610192906
