what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1481625007594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481625049859
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481625049870
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481625050323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1481625056473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481625057759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481625362640
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1481625364573
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481625373561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481625382476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481625390247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481625394227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481628361748
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481628362371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481628372265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481628474581
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1481628480550
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1481628480674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481628482204
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1481628483998
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1481628492133
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1481628495619
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ExpressionView",1481628501693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481628558355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481628566102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1481628568720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481628569866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481628860215
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481628882447
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1481628884289
